Year,Month,Cottonseed_Price,Cotton_Wholesale_Price
1910,2,NA,14.8
1910,3,NA,15
1910,4,NA,15.1
1910,5,NA,15.4
1910,6,NA,15.1
1910,7,NA,15.7
1910,8,NA,16.3
1910,9,26.23,14
1910,10,26.86,14.5
1910,11,25.36,14.8
1910,12,25.65,15.1
1911,1,26.35,14.9
1911,2,25.61,14.3
1911,3,25.49,14.5
1911,4,26.12,14.9
1911,5,25.46,15.8
1911,6,23.38,15.5
1911,7,22.7,14
1911,8,20.45,12.5
1911,9,18.09,11.3
1911,10,16.73,9.6
1911,11,16.69,9.4
1911,12,16.7,9.4
1912,1,16.57,9.6
1912,2,16.81,10.3
1912,3,18.21,10.6
1912,4,18.62,11.6
1912,5,19.21,11.6
1912,6,19.24,11.6
1912,7,19.04,12.6
1912,8,18.02,12
1912,9,17.61,11.7
1912,10,18.04,11.1
1912,11,18.57,12.4
1912,12,21.42,13
1913,1,21.98,13.1
1913,2,22.01,12.8
1913,3,21.55,12.6
1913,4,21.89,12.3
1913,5,21.88,12
1913,6,21.54,12.2
1913,7,21.37,12.3
1913,8,20.24,12.1
1913,9,21.07,13.4
1913,10,22.01,14.1
1913,11,22.46,13.7
1913,12,23.48,13
1914,1,22.7,12.7
1914,2,23.37,12.8
1914,3,23.6,13.3
1914,4,24.17,13.2
1914,5,23.56,13.4
1914,6,23.62,13.5
1914,7,22.78,13.2
1914,8,20.16,11
1914,9,13.88,8.7
1914,10,15.28,7.3
1914,11,14.01,7.7
1914,12,17.73,7.5
1915,1,19.14,8.3
1915,2,23.33,8.5
1915,3,22.32,9
1915,4,22.69,10.2
1915,5,22.07,9.8
1915,6,20.82,9.7
1915,7,20.05,9.2
1915,8,20.14,9.4
1915,9,20.98,10.8
1915,10,33.73,12.4
1915,11,34.01,11.9
1915,12,35.54,12.3
1916,1,36.85,12.3
1916,2,36.75,11.7
1916,3,36.56,11.9
1916,4,38.13,12
1916,5,37.91,12.9
1916,6,35.79,13
1916,7,36.06,13
1916,8,35.22,14.6
1916,9,41.13,15.8
1916,10,47.19,18
1916,11,55.82,19.9
1916,12,56.35,18.3
1917,1,52.53,17.6
1917,2,51.43,15.9
1917,3,53.18,18.5
1917,4,55.94,20.4
1917,5,55.61,20.7
1917,6,57.19,25.3
1917,7,56.9,26.3
1917,8,56.61,25.5
1917,9,57.58,23
1917,10,65.02,28
1917,11,69.38,29.8
1917,12,68.29,30.7
1918,1,67.51,32.3
1918,2,66.95,31.8
1918,3,68.27,33.7
1918,4,68.08,31.8
1918,5,68.16,27.6
1918,6,66.03,30.4
1918,7,64.11,31.5
1918,8,61.34,33.9
1918,9,67.9,35.1
1918,10,65.85,32.4
1918,11,64.97,29.7
1918,12,65.05,30.2
1919,1,64.93,29.1
1919,2,64.65,26.3
1919,3,64,27.7
1919,4,64.28,28.8
1919,5,63.83,30.6
1919,6,63.8,33
1919,7,64.24,35.3
1919,8,66.23,32.1
1919,9,62.13,30.6
1919,10,66.95,35
1919,11,72.65,39.4
1919,12,69.07,39.2
1920,1,69.88,39.3
1920,2,69.34,38.8
1920,3,67.18,41.2
1920,4,68.71,42.3
1920,5,69.88,41.2
1920,6,66.16,39.3
1920,7,61.64,41.2
1920,8,43.22,36.2
1920,9,29.96,30.1
1920,10,28.94,22.7
1920,11,26,18.8
1920,12,19.83,15.7
1921,1,18.96,16.6
1921,2,19.76,13.4
1921,3,18.92,11.7
1921,4,17.23,12.1
1921,5,17.28,12.8
1921,6,17.06,12
1921,7,18.75,12.4
1921,8,22.06,13.8
1921,9,27.19,20
1921,10,31.05,19.6
1921,11,29.15,18
1921,12,28.78,18.3
1922,1,29.24,17.9
1922,2,30.17,17.9
1922,3,32.72,18.3
1922,4,40.79,18.1
1922,5,40.21,20.8
1922,6,37.71,22.1
1922,7,36.92,22.3
1922,8,32.44,21.9
1922,9,25.37,21.4
1922,10,31.79,22.7
1922,11,40.18,25.6
1922,12,42.93,25.6
1923,1,43.35,27.6
1923,2,45.16,28.6
1923,3,46.32,30.6
